site,transect,team,spcode,start,stop,dist
BR1,4,HC,BG,32.9,34.8,1.9
BR1,4,HC,DASLEI,34.7,35.7,1
BR1,4,HC,BG,35.7,37.4,1.7
BR1,4,HC,DASLEI,37.4,39,1.6
BR1,4,HC,JUNPIN,39,44.1,5.1
BR1,4,HC,oppwoo,44.1,45,0.9
BR1,4,HC,BG,45,46.2,1.2
BR1,4,HC,DASLEI,46.2,47.1,0.9
BR1,4,HC,ACAGRE,47.2,50,2.8
BR1,5,MS,ARTLUD,0.36,3.11,2.75
BR1,5,MS,HERB,0,3.13,3.13
BR1,5,MS,BG,3.1,3.7,0.6
BR1,5,MS,HERB,3.7,10.34,6.64
BR1,5,MS,DASLEI,10.33,11.42,1.09
BR1,5,MS,BG,11.42,12.35,0.93
BR1,5,MS,HERB,12.35,22.7,10.35
BR1,5,MS,ARTLUD,12.71,12.9,0.19
BR1,5,MS,astirr,13.4,13.55,0.15
BR1,5,MS,OPUCHI,20.05,20.55,0.5
BR1,5,MS,DALFOR,17.81,18.05,0.24
BR1,5,MS,OPUCHI,21.25,22.35,1.1
BR1,5,MS,DALFOR,22.4,22.8,0.4
BR1,5,MS,DALFOR,23.2,23.4,0.2
BR1,5,MS,BG,23.7,24.36,0.66
BR1,5,MS,OPUCHI,24.4,24.7,0.3
BR1,5,MS,astirr,25.11,25.33,0.22
BR1,5,MS,YUCTOR,25.31,25.55,0.24
BR1,5,MS,DASLEI,25.44,26.75,1.31
BR1,5,MS,astirr,26.8,27.9,1.1
BR1,5,MS,DALFOR,27.22,27.84,0.62
BR1,5,MS,DALFOR,27.66,28.99,1.33
BR1,5,MS,HERB,24.36,34.45,10.09
BR1,5,MS,DALFOR,30.45,31.2,0.75
BR1,5,MS,DASLEI,31.24,33.8,2.56
BR1,5,MS,astirr,31.2,31.6,0.4
BR1,5,MS,ARTLUD,34.3,48.45,14.15
BR1,5,MS,OPUCHI,34.65,34.9,0.25
BR1,5,MS,astirr,37.45,37.51,0.06
BR1,5,MS,RHUMIC,42.3,42.44,0.14
BR1,5,MS,ACACON,45,46.31,1.31
BR1,5,MS,BG,42.45,45,2.55
BR1,5,MS,oppwoo,46.9,47.35,0.45
BR1,5,MS,DASLEI,47.5,48.44,0.94
BR1,5,MS,DASLEI,48.76,50,1.24
BR1,5,MS,astirr,48.82,49.11,0.29
BR1,6,MS,HERB,0,28.7,28.7
BR1,6,MS,DALFOR,0.43,1.2,0.77
