"site","team","transect","spcode","start","stop","dieback","notes"
"C1","KS",2,"HERB",18.35,18.6,,
"C1","KS",2,"LARTRI",18.4,19.4,50,
"C1","KS",2,"HERB",19.05,19.3,,
"C1","KS",2,"AGALEC",19.8,20.2,0,
"C1","KS",2,"KRAGRA",22.2,22.5,5,
"C1","KS",2,"KRAGRA",23.2,23.45,10,
"C1","KS",2,"LARTRI",26.3,26.7,10,
"C1","KS",2,"HERB",27.9,28,,
"C1","KS",2,"HERB",28.3,29.3,,
"C1","KS",2,"LARTRI",29.3,29.9,10,
"C1","KS",2,"LARTRI",31.5,31.8,5,
"C1","KS",2,"HERB",32.05,32.1,,
"C1","KS",2,"ACACON",34.4,34.55,10,
"C1","KS",2,"HERB",43,45,,
"C1","KS",2,"AGALEC",45.1,45.4,70,
"C1","KS",2,"unarmd",46.45,46.8,0,
"C1","KS",2,"AGALEC",46.55,47.3,40,
"C1","KS",2,"unarmd",47.6,47.85,10,
"C1","KS",2,"AGALEC",48.35,48.9,60,
"C1","KS",2,"unarmd",49.1,49.4,10,
"C1","KS",2,"HERB",49.5,50,,
"C1","KS",3,"AGALEC",1.3,1.45,100,
"C1","KS",3,"HERB",6.4,9.3,,
"C1","KS",3,"AGALEC",10.4,11,100,
"C1","KS",3,"OPUAZU",11.91,12.28,0,
"C1","KS",3,"EPHTOR",12.95,13.15,5,
"C1","KS",3,"HERB",13.2,16.2,,
"C1","KS",3,"EPHTOR",17.25,17.7,5,
"C1","KS",3,"DASLEI",17.85,18.3,75,
"C1","KS",3,"HERB",18.1,20.6,,
"C1","KS",3,"EPHTOR",21.65,22.1,5,
"C1","KS",3,"HERB",27.2,27.8,,
"C1","KS",3,"MAHTRI",28.05,29.2,60,
"C1","KS",3,"EPHTOR",29.05,29.25,0,
"C1","KS",3,"HERB",29,31,,
"C1","KS",3,"ACAGRE",33.15,34.3,30,
"C1","KS",3,"DASLEI",35.3,36.1,40,
"C1","KS",3,"unarmd",36.75,37,10,
"C1","KS",3,"HERB",37.3,40.1,,
"C1","KS",3,"DASLEI",38.7,39.3,70,
"C1","KS",3,"AGALEC",38.68,38.9,0,
"C1","KS",3,"VIQSTE",42.8,43.2,20,
"C1","KS",3,"HERB",43.2,47.9,,
"C1","KS",3,"AGALEC",45.75,45.95,100,
"C1","KS",3,"AGALEC",46.5,46.6,100,
"C1","KS",3,"AGALEC",49.15,49.9,90,
"C2","KS",1,"AGALEC",0.8,1.1,100,
"C2","KS",1,"LARTRI",1.9,2.6,10,
"C2","KS",1,"AGALEC",1.95,2.04,40,
"C2","KS",1,"PROGLA",2.6,3.2,50,
"C2","KS",1,"HERB",7.4,8.4,,
"C2","KS",1,"JATDIO",9.3,10.3,5,
"C2","KS",1,"OPUAZU",9.3,9.8,5,
"C2","KS",1,"LARTRI",11.8,12.9,40,
"C2","KS",1,"JATDIO",11.75,12.1,40,
"C2","KS",1,"LARTRI",16.2,16.85,10,
"C2","KS",1,"FOUSPL",17.95,19.5,0,
"C2","KS",1,"HERB",21.2,21.8,,
"C2","KS",1,"AGALEC",21.8,22.6,0,
"C2","KS",1,"KRAGRA",25.1,25.6,5,
"C2","KS",1,"JATDIO",26.6,27.2,40,
"C2","KS",1,"LARTRI",27.55,27.85,15,
"C2","KS",1,"HERB",32.2,33,,
"C2","KS",1,"AGALEC",33.3,34.1,70,
"C2","KS",1,"HERB",37,37.7,,
"C2","KS",1,"LARTRI",40.85,41.02,10,
"C2","KS",1,"LEUCAN",44.65,45.45,40,
"C2","KS",1,"PROGLA",46.6,48.5,20,
"C2","KS",2,"HERB",1.9,2.6,,
"C2","KS",2,"fuzbal",2.6,2.77,7,
"C2","KS",2,"JATDIO",2.87,3.12,5,
"C2","KS",2,"JATDIO",3.75,4.05,20,
"C2","KS",2,"AGAHAV",3.75,4.2,95,
"C2","KS",2,"HERB",10.1,10.15,,
"C2","KS",2,"FOUSPL",13.3,14.15,5,
"C2","KS",2,"JATDIO",14.2,14.9,0,
"C2","KS",2,"rednod",13.5,13.7,0,
"C2","KS",2,"opprou",14.8,14.9,0,
"C2","KS",2,"HERB",15.9,16.4,,
"C2","KS",2,"ACANEO",17.5,17.9,0,
